                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.85168,                 1.7845,                0.75372,                 1.0121,                 0.8936,                0.83273,                0.90271,                 0.7158,                0.82193,                0.76792,                0.81264,                0.54757,                0.81593,                 1.4244,                0.62523,                0.96028,               0.004258,               0.004258,               0.004258
                     60,                0.83203,                 1.7802,                0.76441,                 1.0253,                 0.8769,                0.83246,                0.90112,                0.71622,                0.81174,                0.77153,                0.81157,                0.55721,                0.80445,                 1.4119,                0.62968,                 0.9534,               0.004159,               0.004159,               0.004159
                     61,                0.84409,                 1.7396,                0.74853,                0.99587,                 0.8709,                0.84984,                0.90296,                0.71098,                0.81162,                0.76925,                 0.8122,                0.55808,                0.82017,                 1.4139,                0.63384,                0.96286,                0.00406,                0.00406,                0.00406
                     62,                0.85835,                 1.8307,                0.76211,                 1.0205,                0.88019,                0.83823,                0.90045,                0.71468,                0.86653,                0.76473,                0.82754,                0.56084,                0.80083,                 1.4231,                0.62646,                0.95434,               0.003961,               0.003961,               0.003961
                     63,                0.84084,                 1.7517,                0.76687,                 1.0052,                0.89702,                0.82409,                0.90589,                0.71962,                0.85444,                0.75873,                0.82867,                0.56409,                0.80279,                 1.4131,                0.61382,                0.95345,               0.003862,               0.003862,               0.003862
                     64,                0.86652,                 1.7937,                0.75175,                 1.0026,                0.87903,                0.83146,                0.89954,                0.72165,                0.83859,                0.76569,                0.81861,                0.56594,                0.78603,                 1.3903,                0.60862,                0.94725,               0.003763,               0.003763,               0.003763
                     65,                0.89261,                 1.8183,                0.79643,                 1.0273,                0.84276,                0.85531,                 0.8974,                0.72507,                0.84549,                0.76996,                 0.8211,                0.56666,                0.77343,                 1.3797,                0.60179,                0.94172,               0.003664,               0.003664,               0.003664
                     66,                0.89637,                 1.8611,                0.77344,                 1.0123,                0.85331,                0.86182,                0.90376,                0.71795,                0.87159,                0.77739,                0.83268,                0.57659,                0.78393,                 1.3695,                0.59797,                 0.9447,               0.003565,               0.003565,               0.003565
                     67,                0.82413,                 1.6923,                0.77023,                 1.0207,                0.89411,                0.83988,                0.90284,                0.73146,                 0.8833,                 0.7751,                0.83802,                0.58667,                0.76658,                 1.3404,                0.58387,                0.93846,               0.003466,               0.003466,               0.003466
                     68,                0.80105,                 1.6357,                0.68557,                0.99844,                0.91689,                0.83674,                0.91163,                0.73672,                0.90441,                 0.7928,                0.86471,                 0.5968,                0.77143,                 1.3496,                 0.5784,                0.93926,               0.003367,               0.003367,               0.003367
                     69,                0.80209,                 1.6935,                0.72913,                 1.0054,                0.91848,                0.84127,                0.91497,                0.73663,                0.88883,                0.80934,                0.86472,                0.59467,                0.75568,                 1.3604,                0.57213,                0.93438,               0.003268,               0.003268,               0.003268
                     70,                0.81077,                 1.6633,                0.70569,                 0.9932,                0.91992,                0.84868,                0.91259,                0.73898,                0.88845,                0.81249,                0.86033,                0.58643,                 0.7718,                 1.3608,                   0.58,                0.93838,               0.003169,               0.003169,               0.003169
                     71,                0.83592,                 1.7152,                0.70992,                  0.985,                0.92295,                0.85176,                 0.9138,                0.73814,                0.88827,                0.79952,                0.85132,                0.58402,                0.77624,                  1.344,                0.57239,                0.93973,                0.00307,                0.00307,                0.00307
                     72,                0.82652,                 1.6579,                0.68237,                0.97885,                0.90826,                0.85848,                0.91324,                0.74257,                0.88081,                0.80274,                0.85375,                0.58886,                0.74874,                  1.327,                 0.5643,                0.93041,               0.002971,               0.002971,               0.002971
                     73,                0.79579,                 1.7408,                0.68787,                0.98177,                0.91277,                0.85885,                0.91385,                 0.7451,                0.87909,                0.81816,                0.85821,                 0.5965,                0.74745,                 1.3221,                0.56696,                0.92941,               0.002872,               0.002872,               0.002872
                     74,                0.83086,                 1.6587,                0.68491,                 0.9813,                0.91324,                0.84016,                0.91284,                 0.7458,                0.87798,                0.80383,                0.85744,                 0.5953,                0.75667,                 1.3129,                0.56131,                0.92957,               0.002773,               0.002773,               0.002773
                     75,                0.81722,                 1.6451,                 0.6866,                0.98208,                0.92644,                 0.8359,                0.91646,                0.75082,                0.88717,                0.79711,                0.86016,                0.58954,                0.74545,                 1.3073,                0.55422,                0.92571,               0.002674,               0.002674,               0.002674
                     76,                  0.808,                 1.7555,                0.65861,                 0.9713,                0.90487,                0.84763,                0.91723,                0.75548,                0.89746,                0.79675,                0.85941,                0.59448,                0.73682,                 1.2971,                0.55527,                0.92467,               0.002575,               0.002575,               0.002575
                     77,                0.76332,                 1.6011,                0.64242,                0.97108,                0.92055,                0.83592,                0.91555,                0.75449,                0.89908,                0.80299,                0.85679,                0.59227,                0.74478,                 1.2932,                0.55335,                0.92499,               0.002476,               0.002476,               0.002476
                     78,                0.77858,                 1.6463,                0.65252,                0.97375,                0.91592,                0.84176,                0.91681,                0.75437,                0.88892,                0.80811,                0.86116,                0.60272,                0.74024,                 1.2704,                0.54826,                0.92377,               0.002377,               0.002377,               0.002377
                     79,                0.78572,                 1.6289,                0.64194,                0.97119,                0.91661,                0.85473,                0.91843,                0.75805,                0.86857,                0.80974,                0.85697,                0.59679,                0.72372,                 1.2518,                0.54133,                0.91841,               0.002278,               0.002278,               0.002278
                     80,                0.79001,                 1.5428,                0.67081,                0.99488,                0.92209,                0.85677,                0.91953,                0.75999,                0.87794,                0.81613,                0.86303,                0.59855,                 0.7167,                 1.2427,                 0.5366,                 0.9141,               0.002179,               0.002179,               0.002179
                     81,                0.78152,                 1.5968,                0.64323,                 0.9706,                0.91317,                 0.8613,                0.92121,                0.76056,                0.87755,                0.82487,                0.86872,                0.59944,                0.71494,                 1.2469,                0.53365,                0.91488,                0.00208,                0.00208,                0.00208
                     82,                0.78876,                 1.5923,                0.65618,                0.98213,                0.92845,                0.85146,                0.92159,                0.76897,                0.89132,                0.81065,                0.86282,                0.59955,                0.70508,                 1.2316,                0.52395,                0.91291,               0.001981,               0.001981,               0.001981
                     83,                0.76144,                 1.6069,                  0.648,                0.97301,                0.91811,                0.86268,                0.91802,                0.76511,                0.87835,                0.81412,                0.85761,                 0.6033,                0.71328,                 1.2277,                 0.5281,                0.91497,               0.001882,               0.001882,               0.001882
                     84,                0.76826,                 1.6595,                0.61776,                0.95949,                0.91839,                0.86218,                  0.921,                0.77122,                0.85814,                0.79658,                0.84045,                 0.6076,                 0.7039,                 1.2238,                0.52161,                0.91242,               0.001783,               0.001783,               0.001783
                     85,                0.76802,                 1.6571,                0.64359,                0.97144,                0.92295,                0.85447,                0.92202,                0.77102,                0.87182,                0.79598,                0.84417,                0.61051,                0.69403,                 1.2172,                0.51023,                0.90969,               0.001684,               0.001684,               0.001684
                     86,                0.76427,                 1.6216,                0.64643,                 0.9667,                0.93452,                 0.8475,                0.92192,                0.77123,                0.87611,                0.79353,                0.84402,                0.60487,                0.69852,                 1.2063,                 0.5073,                0.91102,               0.001585,               0.001585,               0.001585
